Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0603_1608Metric",105.399480,-346.474980,90.000000,top
"C2","10u","C_0805_2012Metric",86.599480,-325.199980,0.000000,top
"C3","0.1u","C_0603_1608Metric",183.599480,-317.599980,-90.000000,top
"C4","0.1u","C_0603_1608Metric",167.599480,-325.799990,180.000000,top
"C5","0.1u","C_0603_1608Metric",177.799480,-329.199980,180.000000,top
"C6","1000p","C_0603_1608Metric",167.999480,-333.424990,180.000000,top
"C7","1000p","C_0603_1608Metric",167.266750,-323.367800,-90.000000,top
"IC1","STM32F030R8T6","LQFP-64_10x10mm_P0.5mm",175.799480,-321.199980,90.000000,top
"R1","220","R_0603_1608Metric",144.100000,-306.200000,0.000000,top
"R2","220","R_0603_1608Metric",144.100000,-304.700000,0.000000,top
"R3","220","R_0603_1608Metric",144.100000,-303.200000,0.000000,top
"R4","220","R_0603_1608Metric",144.100000,-301.700000,0.000000,top
"R5","220","R_0603_1608Metric",144.200000,-316.900000,0.000000,top
"R6","220","R_0603_1608Metric",144.200000,-315.400000,0.000000,top
"R7","220","R_0603_1608Metric",144.200000,-313.900000,0.000000,top
"R8","220","R_0603_1608Metric",144.200000,-312.400000,0.000000,top
"R9","10k","R_0603_1608Metric",87.399480,-327.799980,-90.000000,top
"R10","0","R_0603_1608Metric",85.799480,-327.799980,90.000000,top
"R11","47","R_0603_1608Metric",182.999480,-312.399980,-90.000000,top
"R12","47","R_0603_1608Metric",181.199480,-312.399980,-90.000000,top
"R13","47","R_0603_1608Metric",179.399480,-312.399980,-90.000000,top
"R14","47","R_0603_1608Metric",177.599480,-312.399980,-90.000000,top
"R15","33","R_0603_1608Metric",167.999480,-331.824990,0.000000,top
"R16","1k","R_0603_1608Metric",165.066750,-322.567790,0.000000,top
"R17","100k","R_0603_1608Metric",167.999480,-330.199910,180.000000,top
"R18","47k","R_0603_1608Metric",165.066750,-324.167790,0.000000,top
"R19","10k","R_0603_1608Metric",181.200000,-309.400000,-90.000000,top
"R20","10k","R_0603_1608Metric",179.400000,-309.400000,-90.000000,top
"R21","10k","R_0603_1608Metric",177.600000,-309.400000,-90.000000,top
"R22","1k","R_0603_1608Metric",165.600000,-331.000000,90.000000,top
